doc_id,filename,extension,selection_reason,parse_status,evidence_count,elapsed_ms,warnings
DOC-001-d2840bea2c4a,001_2026年银行业总资产、总负债（月度）_2026年银行业总资产、总负债（月度）.xls,.xls,.xls基础样本,passed,8,8.32,
DOC-394-855f50a8b4df,394_国家金融监督管理总局办公厅关于印发保险公司县域机构统计制度的通知_附件1：财产保险公司县域机构统计表.xls,.xls,.xls最大文件,passed,8,146.47,
DOC-135-5c6a406c7aa7,135_2023年银行业总资产、总负债（月度）_2023年银行业总资产、总负债（月度）.xls,.xls,.xls中位序号样本,passed,8,12.05,
DOC-032-2ddfb401b298,032_2025年9月全国各地区原保险保费收入情况表_2025年9月全国各地区原保险保费收入情况表.xlsx,.xlsx,.xlsx基础样本,passed,8,15.05,
DOC-461-760931bd6c26,461_中国银保监会关于实施_保险公司偿付能力监管规则（Ⅱ）_有关事项的通知_附件2：巨灾风险损失因子表和最低资本计算模板.xlsx,.xlsx,.xlsx最大文件,passed,8,3821.37,
DOC-212-93c59bac4b6a,212_2022年9月保险业经营情况表_2022年09月保险业经营情况表.xlsx,.xlsx,.xlsx中位序号样本,passed,8,11.25,
DOC-361-37bd020ab804,361_2013年至2017年6月国内21家主要银行绿色信贷数据_绿色信贷统计信息披露说明-中文.pdf,.pdf,.pdf基础样本,passed,8,6.16,
DOC-373-c3005ebadef2,373_2015中国保险市场年报（中文)_2015中国保险市场年报（中文).pdf,.pdf,.pdf最大文件,passed,8,47.04,
DOC-467-7c4ff29765c5,467_中国银保监会关于实施_保险公司偿付能力监管规则（Ⅱ）_有关事项的通知_附件8：应当编报保险集团偿付能力报告的公司名单.pdf,.pdf,.pdf中位序号样本,passed,8,14.3,
DOC-385-18ed0ea824ea,385_国家金融监督管理总局关于印发《保险公司资本保证金管理办法》的通知_附件：保险公司资本保证金处置情况报告表.doc,.doc,.doc基础样本,warning,8,83.43,legacy_doc_layout_not_preserved
DOC-498-0ef82ddb27e3,498_中国银保监会办公厅关于印发非银行金融机构行政许可事项申请材料目录及格式要求的通知_非银行金融机构行政许可事项申请材料目录及格式要求（2021年版）.doc,.doc,.doc最大文件,warning,8,93.54,legacy_doc_layout_not_preserved
DOC-443-b7ef8add5a98,443_中国银保监会关于印发_保险公司非寿险业务准备金管理办法_实施细则（1—7号）的通知_细则第6号附件1.准备金报表填表说明.doc,.doc,.doc中位序号样本,warning,8,65.61,legacy_doc_layout_not_preserved
DOC-397-fd7a0fa2f74d,397_财政部办公厅_金融监管总局办公厅关于印发《银行函证工作操作指引》的通知_银行函证工作操作指引.docx,.docx,.docx基础样本,passed,8,12.72,
DOC-417-119e4d24da0f,417_商业银行资本管理办法_附件22：商业银行信息披露内容和要求.docx,.docx,.docx最大文件,passed,8,112.46,
DOC-468-0f6d5d7c2789,468_中国银保监会关于实施_保险公司偿付能力监管规则（Ⅱ）_有关事项的通知_附件9：保险公司偿付能力季度报告Excel样表.xlsx,.xlsx,最多Sheet,passed,8,2689.51,
DOC-471-9343f436d96f,471_中国银保监会关于实施_保险公司偿付能力监管规则（Ⅱ）_有关事项的通知_附件11-2：人身保险公司偿付能力压力测试报告Excel样表.x.xlsx,.xlsx,最多合并单元格,passed,8,146.15,
